Locus,Gene
STY4651,vexE
STY4652,vexD
STY4655,vexA
STY4654,vexB
STY4653,vexC
STY4659,tviD
STY4656,tviE
STY4661,tviB
STY4660,tviC
STY4662,tviA
STM1139,csgG
STM1142,csgD
STM1144,csgA
STM1143,csgB
STM1140,csgF
STM1141,csgE
STM1145,csgC
STM0023,bcfC
STM0024,bcfD
STM0027,bcfG
STM0022,bcfB
STM0025,bcfE
STM0021,bcfA
STM0026,bcfF
STM0546,fimD
STM0547,fimH
STM0550,fimY
STM0545,fimC
STM0549,fimZ
STM0552,fimW
STM0543,fimA
STM0544,fimI
STM0548,fimF
STM3638,lpfC
STM3637,lpfD
STM3639,lpfB
STM3640,lpfA
STM3636,lpfE
PSLT017,pefC
PSLT016,pefD
PSLT018,pefA
PSLT019,pefB
SEN2145,pegC
SEN2144A,pegD
SEN2145A,pegB
SEN2145B,pegA
STM0301,safC
STM0300,safB
STM0299,safA
STM0302,safD
SEN4249,sefC
SEN4248,sefB
SEN4247,sefA
SEN4250,sefD
SeAg_B3974,staC
SeAg_B3970,staG
SeAg_B3975,staB
SeAg_B3976,staA
SeAg_B3972,staE
SeAg_B3971,staF
SeAg_B3973,staD
STM0338,stbC
STM0337,stbD
STM0339,stbB
STM0336,stbE
STM0340,stbA
STM2150,stcC
STM2149,stcD
STM2151,stcB
STM2152,stcA
STM3028,stdB
STM3027,stdC
STM3029,stdA
SEN2795,steB
SEN2796,steC
SEN2794,steA
SEN2799,steF
SEN2797,steD
SEN2798,steE
STM0196,stfC
STM0197,stfD
STM0195,stfA
STM0200,stfG
STM0198,stfE
STM0199,stfF
STY3920,stgC
STY3922,stgD
STY3919,stgB
STY3918,stgA
STM4593,sthB
STM4591,sthE
STM4594,sthA
STM4592,sthD
STM0175,stiC
STM0174,stiH
STM0176,stiB
STM0177,stiA
STM4572,stjB
STM4573,stjC
STM4574,STM4574
STM4575,STM4575
SeHA_C0209,stkC
SeHA_C0205,stkG
SeHA_C0210,stkB
SeHA_C0211,stkA
SeHA_C0206,stkF
SeHA_C0207,stkE
SeHA_C0208,stkD
SeHA_C0340,tcfC
SeHA_C0341,tcfD
SeHA_C0338,tcfA
SeHA_C0339,tcfB
STM2782,mig-14
PSLT046,mig-5
STM3763,mgtB
STM3764,mgtC
STM3757,misL
STM2514,ratB
STM2517,sinH
STM2865,avrA
STM2867,hilC
STM2866,sprB
STM2869,orgB
STM2870,orgA
STM2868,orgC
STM2874,prgH
STM2871,prgK
STM2872,prgJ
STM2873,prgI
STM2876,hilA
STM2878,sptP
STM2875,hilD
STM2877,iagB
STM2879,sicP
STM2882,sipA
STM2885,sipB
STM2884,sipC
STM2883,sipD
STM2886,sicA
STM2881,iacP
STM2887,spaS
STM2891,spaO
STM2888,spaR
STM2890,spaP
STM2889,spaQ
STM2896,invA
STM2898,invG
STM2894,invC
STM2897,invE
STM2899,invF
STM2893,invI
STM2900,invH
STM2895,invB
STM1392,ssrA
STM1391,ssrB
STM1394,ssaC
STM1395,ssaD
STM1393,spiC/ssaB
STM1396,ssaE
STM1400,sseC
STM1398,sseB
STM1401,sseD
STM1399,sscA
STM1402,sseE
STM1397,sseA
STM1404,sseF
STM1405,sseG
STM1403,sscB
STM1412,ssaL
STM1409,ssaJ
STM1411,ssaK
STM1408,ssaI
STM1407,ssaH
STM1406,ssaG
STM1414,ssaV
STM1415,ssaN
STM1418,ssaQ
STM1416,ssaO
STM1417,ssaP
STM1413,ssaM
STM1422,ssaU
STM1421,ssaT
STM1419,ssaR
STM1420,ssaS
STM0800,slrP
SEN1155,sopE
STM2066,sopA
STM1091,sopB/sigD
STM2945,sopD
STM1855,sopE2
STM1631,sseJ
STM2287,sseL
STM1224,sifA
STM1602,sifB
SEN1920,sseK2
STM2241,sspH2
STM2584,gogB
STM2780,pipB2
STM4157,sseK1
SEN0876,sopD2
STM1088,pipB
PSLT009,rck
PSLT039,spvB
PSLT041,spvR
PSLT040,spvA
PSLT038,spvC
PSLT037,spvD
STM1044,sodCI
STY1498,hlyE/clyA
STY1886,cdtB
STY1890,pltA
STY1891,pltB
STM1230,phoQ
STM1231,phoP
STM1244,papD
STM0306,pagN
