Locus	Gene	Start	Length	Product	Allele Count	Alleles	
	SC0831		930549	129	Mn(2+)-response protein MntS	61	SC0831.fasta	
	SEN0401		451403	981	thiamine-phosphate kinase	355	SEN0401.fasta	
	SNSL254_A1382		1355241	117	conserved hypothetical protein	90	SNSL254_A1382.fasta	
	SPAB_04503		3759526	108	hypothetical protein	47	SPAB_04503.fasta	
	STM0834	ybiP	900112	1581	integral membrane protein	556	STM0834.fasta	
	STM0942	macB	1019726	1947	macrolide efflux ATP-binding protein/permease MacB	635	STM0942.fasta	
	STM1092	orfX	1180248	171	pathogenicity island-encoded protein	55	STM1092.fasta	
	STM1940		2033128	1440	cell wall-associated hydrolase	554	STM1940.fasta	
	STM2666		2808113	48	hypothetical protein	25	STM2666.fasta	
	STM2932	ygbE	3071976	357	inner membrane protein	159	STM2932.fasta	
	STM3012		3171663	1023	transcriptional regulator	447	STM3012.fasta	
	STM3624	bcsG	3806420	1680	cellulose biosynthesis protein BcsG	587	STM3624.fasta	
	STM3624A		3808673	141	cystathionine gamma-synthase	30	STM3624A.fasta	
	STM4351		4595404	741	arginine ABC transporter substrate-binding protein	313	STM4351.fasta	
	STMMW_00001		169	87	thr operon leader peptide	40	STMMW_00001.fasta	
	STMMW_00011		337	2463	aspartokinase I/homoserine dehydrogenase I	725	STMMW_00011.fasta	
	STMMW_00021		2801	930	HK	391	STMMW_00021.fasta	
	STMMW_00031		3734	1287	threonine synthase	525	STMMW_00031.fasta	
	STMMW_00041		5114	774	conserved hypothetical protein	361	STMMW_00041.fasta	
	STMMW_00051		5966	1431	putative amino-acid transport protein	526	STMMW_00051.fasta	
	STMMW_00061		7665	954	transaldolase B	364	STMMW_00061.fasta	
	STMMW_00071		8729	591	molybdopterin biosynthesis Mog protein	248	STMMW_00071.fasta	
	STMMW_00081		9376	567	putative membrane protein	220	STMMW_00081.fasta	
	STMMW_00091		10092	714	conserved hypothetical protein	369	STMMW_00091.fasta	
	STMMW_00101		10841	405	putative exported protein	162	STMMW_00101.fasta	
	STMMW_00111		11593	1917	DnaK protein (heat shock protein 70)	571	STMMW_00111.fasta	
	STMMW_00121		13595	1140	DNAJ protein	346	STMMW_00121.fasta	
	STMMW_00131		15014	948	putative regulatory protein	416	STMMW_00131.fasta	
	STMMW_00141		16088	345	putative phage protein	164	STMMW_00141.fasta	
	STMMW_00151		16493	534	conserved hypothetical protein	219	STMMW_00151.fasta	
	STMMW_00161		17043	444	putative membrane protein	212	STMMW_00161.fasta	
	STMMW_00171		17867	2100	putative chitinase	602	STMMW_00171.fasta	
	STMMW_00191		23335	705	conserved hypothetical protein	258	STMMW_00191.fasta	
	STMMW_00361		40131	1494	putative secreted sulfatase	519	STMMW_00361.fasta	
	STMMW_00401		46190	1167	Na(+)/H(+) antiporter 1	462	STMMW_00401.fasta	
	STMMW_00441		52280	264	30S ribosomal protein S20	55	STMMW_00441.fasta	
	STMMW_00451		52649	216	conserved hypothetical protein	74	STMMW_00451.fasta	
	STMMW_00461		52872	939	riboflavin biosynthesis protein RibF	298	STMMW_00461.fasta	
	STMMW_00471		53855	2835	isoleucyl-tRNA synthetase	652	STMMW_00471.fasta	
	STMMW_00481		56689	501	lipoprotein signal peptidase	214	STMMW_00481.fasta	
	STMMW_00491		57344	450	probable FkbB-type 16 kD peptidyl-prolyl cis-trans isomerase	191	STMMW_00491.fasta	
	STMMW_00501		57796	951	LytB protein	430	STMMW_00501.fasta	
	STMMW_00651		74017	822	dihydrodipicolinate reductase	387	STMMW_00651.fasta	
	STMMW_00681		75881	1149	carbamoyl-phosphate synthase small chain	523	STMMW_00681.fasta	
	STMMW_00701		80549	396	transcriptional activator CaiF	138	STMMW_00701.fasta	
	STMMW_00721		81726	786	carnitine racemase	464	STMMW_00721.fasta	
	STMMW_00731		82565	1554	probable crotonobetaine/carnitine-CoA ligase	516	STMMW_00731.fasta	
	STMMW_00741		84181	1218	L-carnitine dehydratase	527	STMMW_00741.fasta	
	STMMW_00751		85510	1143	probable carnitine operon oxidoreductase CaiA	472	STMMW_00751.fasta	
	STMMW_00761		86687	1518	probable carnitine transporter	565	STMMW_00761.fasta	
	STMMW_00781		89471	942	FixB protein	409	STMMW_00781.fasta	
	STMMW_00791		90462	1287	FixC protein	549	STMMW_00791.fasta	
	STMMW_00801		91745	288	ferredoxin like protein FixX	210	STMMW_00801.fasta	
	STMMW_00821		93575	264	putative lipoprotein	101	STMMW_00821.fasta	
	STMMW_00901		98256	531	putative NAD(P)H oxidoreductase	289	STMMW_00901.fasta	
	STMMW_00911		98779	1863	glutathione-regulated potassium-efflux system protein KefC	670	STMMW_00911.fasta	
	STMMW_00921		100840	480	dihydrofolate reductase type I	234	STMMW_00921.fasta	
	STMMW_00931		101425	849	bis(5'-nucleosyl)-tetraphosphatase	376	STMMW_00931.fasta	
	STMMW_00941		102284	378	CorD protein	134	STMMW_00941.fasta	
	STMMW_00951		102664	822	dimethyladenosine transferase	304	STMMW_00951.fasta	
	STMMW_00961		103482	990	pyridoxal phosphate biosynthetic protein PdxA	436	STMMW_00961.fasta	
	STMMW_00971		104471	1287	survival protein SurA precursor	443	STMMW_00971.fasta	
	STMMW_00981		105811	2361	organic solvent tolerance protein precursor	639	STMMW_00981.fasta	
	STMMW_00991		108425	813	DNAj-like protein	326	STMMW_00991.fasta	
	STMMW_01001		109332	660	ribosomal large subunit pseudouridine synthase A	348	STMMW_01001.fasta	
	STMMW_01011		110003	2907	probable ATP-dependent helicase HepA	767	STMMW_01011.fasta	
	STMMW_01021		113083	2352	DNA polymerase II	715	STMMW_01021.fasta	
	STMMW_01071		117242	696	L-ribulose-5-phosphate 4-epimerase	431	STMMW_01071.fasta	
	STMMW_01081		118078	1503	L-arabinose isomerase	592	STMMW_01081.fasta	
	STMMW_01091		119591	1710	L-ribulokinase	620	STMMW_01091.fasta	
	STMMW_01101		121641	846	arabinose operon regulatory protein	409	STMMW_01101.fasta	
	STMMW_01111		122605	768	DedA family integral membrane protein	373	STMMW_01111.fasta	
	STMMW_01131		124102	1611	putative ABC transporter integral membrane protein	624	STMMW_01131.fasta	
	STMMW_01141		125688	984	thiamine-binding periplasmic protein precursor	503	STMMW_01141.fasta	
	STMMW_01151		126849	1659	putative ABC transporter periplasmic solute binding protein	593	STMMW_01151.fasta	
	STMMW_01152		128600	123		59	STMMW_01152.fasta	
	STMMW_01161		129058	606	3-isopropylmalate dehydratase	364	STMMW_01161.fasta	
	STMMW_01171		129674	1401	3-isopropylmalate dehydratase	567	STMMW_01171.fasta	
	STMMW_01181		131077	1092	3-IPM-DH	478	STMMW_01181.fasta	
	STMMW_01191		132168	1572	2-isopropylmalate synthase	560	STMMW_01191.fasta	
